smiles,DM,FHM,LP,PKs,RT,SHM,TP,group
C=C(C)C(=O)OCCC,,,,,,,0,training
Cc1ccc(C)o1,,0,,,,,,training
OCC=CCO,,,,,,,0,training
COc1ccccc1N,0,,,1,,,0,training
CN(C)C(=O)NC1CC2CCC1C2Cl,,,0,,,,,training
Oc1ccc(Oc2ccccc2)cc1,,1,,,,,,training
CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,0,,,,,,,training
FC(F)(F)c1ccccc1,1,,,1,,,,training
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,1,1,1,,1,1,,test
Nc1ccc(F)c(C(F)(F)F)c1,,0,,,,,1,valid
CCCN=C=S,,,,,,,1,training
c1ccc2nc3ccccc3cc2c1,1,1,,,,,,training
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,1,,1,,1,,,training
CCCCCCCCCCCOCCO,,1,,,,,,training
O=c1nccc[nH]1,0,,0,,,,,training
O=CCCCC=O,1,1,0,,1,0,,training
CCOC(=O)C(C)CC,,,,,,,0,training
Cc1ccc(CN)cc1,,,,,,,1,training
Cc1nc(C(F)(F)F)c(C(=O)Nc2c(Br)cc(OC(F)(F)F)cc2Br)s1,1,,1,,,,,test
Oc1ccc(O)c(-c2ccccc2)c1,,,,,,,1,valid
O=[N+]([O-])c1cc(Cl)c(O)c(Cl)c1,,,,,,,1,training
CC(C)(C)c1ccc(O)cc1,1,1,,,,,1,training
Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl,0,,,,1,,,training
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],,0,0,,,,,training
COc1ccc(OC)cc1,,0,,,,,,training
O=[N+]([O-])c1cc(F)ccc1O,,,,,,,1,training
COc1ccc2cc(C(C)C(=O)O)ccc2c1,0,,,,,,,training
CC(=O)CC(c1ccc(Cl)cc1)c1c(O)oc2ccccc2c1=O,,,0,,,,,training
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,1,1,1,,1,1,,test
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,1,,,,,,,valid
OCCCCCCCCCl,,,,,,,1,training
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,,1,1,,1,,,training
CCOP(OCC)OCC,0,,,,,,,training
CCc1cccc(N)c1,,,,,,,1,training
CN1CCCC1=O,1,,0,,,,,training
C#CC(C)(C)N,,,,,,,0,training
CC(C)(C)c1cccc(O)c1,0,,,,,,1,training
O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1,,,,,,,1,training
CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1,1,,1,,0,,,test
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,1,1,,,,,1,valid
CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],1,,1,,1,1,,training
S=C=NCCCN=C=S,,,,,,,1,training
O=[N+]([O-])c1ccc(O)cc1[N+](=O)[O-],,,,,,,1,training
C=CCC#N,,0,,,,,0,training
O=[N+]([O-])c1ccc(NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)c(Cl)c1,1,,,,1,,,training
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1,,,,,,,training
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,0,,,,,,,training
CCOP(=S)(S)OCC,1,,,1,,,,training
COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,,,,,1,,,test
COc1cc(C=O)cc(Br)c1O,,0,,,,,1,valid
CCCCOCCOCCO,,,0,,,,,training
CCCC#CCCO,,,,,,,1,training
CCCCCCCC/C=C\CCCCCCCC(=O)[O-],,,0,1,,,,training
CC(=O)C=CC=C(C)CCC=C(C)C,1,,,,,,,training
N#Cc1ccc(C=O)cc1,,,,,,,1,training
